"Year","Quarter","Group","Unit","Inflation Deflator","Adult Population","Working Age Population","Household Population","Real Total Factor Income","Real Factor Income Share","Real Factor Income Per Unit Growth","Real Factor Income Per Unit"
"2007","1","Bottom 50%","Households","0.7012230566666666","109242798.60509516","90664959.00264437","80550494.71773611","1551718711414.254","0.08908061948774758","0.14101692095773316","19263.92527881752"
"2007","2","Bottom 50%","Households","0.7059112166666667","109580067.11898817","90914813.1418371","80841864.4278388","1539445430923.4182","0.08781544263995805","0.12791215773516612","19042.675992431625"
"2007","3","Bottom 50%","Households","0.7095761499999999","109880149.23669408","91133817.74787866","81105796.05371185","1536305376927.253","0.08820475219115088","0.12194859538158866","18941.99245525984"
"2007","4","Bottom 50%","Households","0.7125845166666668","110167234.70698917","91342057.8279212","81360113.26419777","1539487356607.68","0.0881695024917672","0.12075808862443126","18921.892987151554"
"2008","1","Bottom 50%","Households","0.7150889433333334","110489100.69284727","91568497.13428502","81656786.19464107","1532698401876.4807","0.08808504861393902","0.11176173248375904","18770.006429386856"
"2008","2","Bottom 50%","Households","0.7187156666666666","110828459.18466638","91804094.39532304","81974750.78896083","1527679622364.3699","0.08794045215311477","0.10382310524619826","18635.977635324456"
"2008","3","Bottom 50%","Households","0.7241367933333334","111125251.21051888","92004422.15830338","82261244.86972794","1501315392409.6082","0.0868533077072855","0.08099568333121582","18250.579538240014"
"2008","4","Bottom 50%","Households","0.7258548133333335","111417750.1046123","92201203.28783809","82544548.96407402","1439964700567.009","0.0860980771452163","0.03326268808642567","17444.69766493881"
"2009","1","Bottom 50%","Households","0.7254958933333334","111748574.20281786","92395694.50663172","82795547.09004319","1378145812910.6785","0.08395339711825922","-0.014094045334821316","16645.168265050466"
"2009","2","Bottom 50%","Households","0.7242283833333333","112115976.67326064","92603355.02576888","83043281.31034982","1360398806933.2883","0.08223462371660908","-0.029693275778313506","16381.80458993664"
"2009","3","Bottom 50%","Households","0.7250072566666667","112442332.5001963","92777033.94793344","83260593.03252338","1350838715865.5684","0.08084869785558672","-0.03902674854964971","16224.226451736919"
"2009","4","Bottom 50%","Households","0.7273970833333333","112746491.50373723","92932370.3495621","83461461.91873185","1367480837444.092","0.08049895805155506","-0.029529001299717805","16384.578055625676"
